ticker	label	date	open	high	low	close	volume	currency
FR0000124141	VEOLIA ENVIRONN.	22/03/2016	20,615	20,625	20,410	20,490	1479386	EUR
FR0000124141	VEOLIA ENVIRONN.	23/03/2016	20,525	20,740	20,495	20,600	1200163	EUR
FR0000124141	VEOLIA ENVIRONN.	24/03/2016	20,535	20,610	20,325	20,350	1207509	EUR
FR0000124141	VEOLIA ENVIRONN.	29/03/2016	20,710	21,015	20,700	20,920	3114200	EUR
FR0000124141	VEOLIA ENVIRONN.	30/03/2016	21,030	21,365	20,955	21,295	2717292	EUR
FR0000124141	VEOLIA ENVIRONN.	31/03/2016	21,275	21,295	21,065	21,170	1580693	EUR
FR0000124141	VEOLIA ENVIRONN.	01/04/2016	20,895	20,955	20,485	20,720	2208973	EUR
FR0000124141	VEOLIA ENVIRONN.	04/04/2016	20,715	20,890	20,640	20,715	1532201	EUR
FR0000124141	VEOLIA ENVIRONN.	05/04/2016	20,595	20,730	20,415	20,460	1444309	EUR
FR0000124141	VEOLIA ENVIRONN.	06/04/2016	20,600	20,715	20,385	20,560	1881814	EUR
FR0000124141	VEOLIA ENVIRONN.	07/04/2016	20,540	20,650	20,425	20,595	1685765	EUR
FR0000124141	VEOLIA ENVIRONN.	08/04/2016	20,680	21,070	20,625	20,965	1370625	EUR
FR0000124141	VEOLIA ENVIRONN.	11/04/2016	20,990	21,260	20,825	21,120	1256579	EUR
FR0000124141	VEOLIA ENVIRONN.	12/04/2016	21,110	21,150	20,780	21,110	1788020	EUR
FR0000124141	VEOLIA ENVIRONN.	13/04/2016	21,310	21,400	21,050	21,275	1990438	EUR
FR0000124141	VEOLIA ENVIRONN.	14/04/2016	21,275	21,335	21,080	21,285	1405986	EUR
FR0000124141	VEOLIA ENVIRONN.	15/04/2016	21,280	21,520	21,160	21,495	1624597	EUR
FR0000124141	VEOLIA ENVIRONN.	18/04/2016	21,280	21,580	21,270	21,555	1447875	EUR
FR0000124141	VEOLIA ENVIRONN.	19/04/2016	21,595	21,730	21,415	21,490	1515520	EUR
FR0000124141	VEOLIA ENVIRONN.	20/04/2016	21,400	21,475	21,240	21,335	1663695	EUR
FR0000124141	VEOLIA ENVIRONN.	21/04/2016	21,365	21,390	20,785	20,930	2247650	EUR
FR0000124141	VEOLIA ENVIRONN.	22/04/2016	21,005	21,210	20,930	21,060	1821409	EUR
FR0000124141	VEOLIA ENVIRONN.	25/04/2016	21,015	21,220	20,970	21,090	1283041	EUR
FR0000124141	VEOLIA ENVIRONN.	26/04/2016	21,160	21,295	20,990	21,100	1248927	EUR
FR0000124141	VEOLIA ENVIRONN.	27/04/2016	21,170	21,325	20,980	21,255	1505598	EUR
FR0000124141	VEOLIA ENVIRONN.	28/04/2016	21,200	21,665	21,130	21,665	2449453	EUR
FR0000124141	VEOLIA ENVIRONN.	29/04/2016	21,545	21,545	21,190	21,455	1958516	EUR
FR0000124141	VEOLIA ENVIRONN.	02/05/2016	20,800	20,965	20,695	20,900	1145681	EUR
FR0000124141	VEOLIA ENVIRONN.	03/05/2016	20,930	20,945	20,640	20,885	1905552	EUR
FR0000124141	VEOLIA ENVIRONN.	04/05/2016	20,700	20,765	19,940	20,045	3598508	EUR
FR0000124141	VEOLIA ENVIRONN.	05/05/2016	19,925	20,000	19,590	19,760	2384201	EUR
FR0000124141	VEOLIA ENVIRONN.	06/05/2016	19,685	20,115	19,630	20,030	2201172	EUR
FR0000124141	VEOLIA ENVIRONN.	09/05/2016	20,065	20,245	19,900	20,130	1735750	EUR
FR0000124141	VEOLIA ENVIRONN.	10/05/2016	20,225	20,295	20,015	20,025	1429561	EUR
FR0000124141	VEOLIA ENVIRONN.	11/05/2016	20,025	20,065	19,755	19,845	1601220	EUR
FR0000124141	VEOLIA ENVIRONN.	12/05/2016	19,870	20,110	19,725	19,890	1762860	EUR
FR0000124141	VEOLIA ENVIRONN.	13/05/2016	19,950	20,045	19,855	19,985	1482102	EUR
FR0000124141	VEOLIA ENVIRONN.	16/05/2016	19,900	20,115	19,795	20,105	993121	EUR
FR0000124141	VEOLIA ENVIRONN.	17/05/2016	20,165	20,225	19,815	19,860	1550983	EUR
FR0000124141	VEOLIA ENVIRONN.	18/05/2016	19,665	19,700	19,235	19,445	3744555	EUR
FR0000124141	VEOLIA ENVIRONN.	19/05/2016	19,380	19,540	19,090	19,420	1943526	EUR
FR0000124141	VEOLIA ENVIRONN.	20/05/2016	19,530	19,845	19,530	19,620	2779487	EUR
FR0000124141	VEOLIA ENVIRONN.	23/05/2016	19,550	19,710	19,385	19,540	1465963	EUR
FR0000124141	VEOLIA ENVIRONN.	24/05/2016	19,540	19,895	19,420	19,860	1420665	EUR
FR0000124141	VEOLIA ENVIRONN.	25/05/2016	19,925	20,065	19,665	19,735	1653166	EUR
